fid,strahler
1,2
4,1
5,1
9,2
11,6
18,3
25,1
26,1
28,2
30,2
40,2
41,2
42,2
48,1
63,1
64,2
65,6
66,4
67,3
68,1
69,1
70,2
71,4
72,1
73,1
78,3
80,1
85,1
90,1
91,1
93,1
95,1
103,7
110,7
113,3
114,1
115,1
116,1
117,1
118,1
119,1
123,1
124,1
126,3
133,1
134,3
135,1
136,1
137,1
138,1
139,1
141,1
142,1
143,1
144,2
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,2
153,2
154,1
155,1
156,2
157,2
158,1
159,1
160,7
161,7
162,4
164,3
165,1
166,2
175,1
180,1
190,1
193,3
200,1
217,1
243,1
245,1
249,1
266,1
270,1
271,1
272,1
273,2
277,2
278,1
283,1
316,1
323,1
325,1
377,1
378,1
379,1
380,1
388,2
393,2
394,2
395,2
459,1
461,1
463,2
467,4
474,6
481,1
482,1
484,1
486,1
490,1
493,7
494,7
495,7
496,7
497,7
500,7
513,1
514,1
516,3
517,3
520,7
521,1
522,1
523,1
525,2
526,1
528,1
529,1
535,1
540,3
541,1
542,1
543,1
544,3
545,3
546,1
552,7
554,1
555,1
556,1
557,1
558,1
559,1
560,2
561,2
562,1
563,1
566,4
567,3
568,3
569,3
570,3
571,3
572,1
573,1
574,1
575,2
576,2
577,2
578,1
579,2
580,4
581,2
582,3
583,3
584,2
585,2
586,1
587,3
588,1
589,1
590,1
591,7
592,6
593,2
594,3
595,2
596,1
608,2
633,4
636,1
649,1
650,1
652,7
654,6
655,6
659,1
