varijabla,tip,test,n_neolitik,n_kontrola,statistika,p_value,p_bonferroni,znacajnost_005,znacajnost_005_bonf,effect_name,effect_value,effect_interp,smjer
aps_vis,kontinuirana,KS_2samp,274,274,0.11313868613138686,0.05988890553076099,1.0,False,False,VDA,0.5399461878629656,zanemariv,vise u neolitiku
rel_vis_100_250,kontinuirana,KS_2samp,274,274,0.21897810218978103,3.6234990093730996e-06,9.421097424370059e-05,True,True,VDA,0.6176607704193083,mali,vise u neolitiku
rel_vis_100_500,kontinuirana,KS_2samp,274,274,0.15693430656934307,0.0023099001874010215,0.060057404872426556,True,False,VDA,0.5836552293675741,mali,vise u neolitiku
rel_vis_100_1000,kontinuirana,KS_2samp,274,274,0.0948905109489051,0.1696886359722161,1.0,False,False,VDA,0.5402658639245563,zanemariv,vise u neolitiku
rel_vis_200_500,kontinuirana,KS_2samp,274,274,0.10218978102189781,0.1143945998268757,1.0,False,False,VDA,0.5349912089083062,zanemariv,vise u neolitiku
rel_vis_200_1000,kontinuirana,KS_2samp,274,274,0.06569343065693431,0.5963158363769421,1.0,False,False,VDA,0.501018967446321,zanemariv,vise u neolitiku
rel_vis_500_1000,kontinuirana,KS_2samp,274,274,0.11313868613138686,0.05988890553076099,1.0,False,False,VDA,0.45135595929458144,zanemariv,manje u neolitiku
aspect_cat4,kategorijska,chi2_2samp,60,58,4.149373713778317,0.24577966659222966,1.0,False,False,CramersV,0.1875211561799641,mali,
aspect_ew,kategorijska,chi2_2samp,60,58,0.11553964833059634,0.7339233748573467,1.0,False,False,CramersV,0.03129136561615197,zanemariv,
aspect_sn,kategorijska,chi2_2samp,60,58,2.7886082152722094,0.09493664971508056,1.0,False,False,CramersV,0.15372791877463715,mali,
nagib,kontinuirana,KS_2samp,274,274,0.040145985401459854,0.9803915382832178,1.0,False,False,VDA,0.49789546592785966,zanemariv,manje u neolitiku
coarse_fragments,kontinuirana,KS_2samp,274,272,0.08992593387720052,0.20138812844556894,1.0,False,False,VDA,0.46573770931730357,zanemariv,manje u neolitiku
vtt_r100,kategorijska,chi2_2samp,274,274,53.8003045643495,8.093810167218772e-10,2.1043906434768806e-08,True,True,CramersV,0.31333007876058155,srednji,
vtt_r250,kategorijska,chi2_2samp,274,274,46.57734755273009,6.927865058565452e-09,1.8012449152270174e-07,True,True,CramersV,0.2915392936942731,mali,
vtt_r500,kategorijska,chi2_2samp,274,274,45.39278168897043,1.2071352432936554e-08,3.138551632563504e-07,True,True,CramersV,0.28780817088478955,mali,
vtt_r1000,kategorijska,chi2_2samp,274,274,47.27212747505175,5.0000410693653304e-09,1.3000106780349858e-07,True,True,CramersV,0.29370564574303865,mali,
sm_r100,kategorijska,chi2_2samp,274,274,21.929927127506282,2.827892965537442e-06,7.352521710397348e-05,True,True,CramersV,0.20004528286410392,mali,
sm_r250,kategorijska,chi2_2samp,274,274,24.180410691003914,8.771999868819044e-07,2.2807199658929516e-05,True,True,CramersV,0.21005912745553193,mali,
sm_r500,kategorijska,chi2_2samp,274,274,20.064616592869427,7.4869109356147975e-06,0.00019465968432598473,True,True,CramersV,0.19134854024946504,mali,
sm_r1000,kategorijska,chi2_2samp,274,274,26.57506566983229,2.534943448646959e-07,6.5908529664820944e-06,True,True,CramersV,0.2202149980880177,mali,
dist_rijeka,kontinuirana,KS_2samp,274,274,0.1386861313868613,0.010211379654678216,0.26549587102163363,True,False,VDA,0.4447759603601685,zanemariv,manje u neolitiku
dist_rijeka_korig,kontinuirana,KS_2samp,274,274,0.1897810218978102,9.931066193513954e-05,0.002582077210313628,True,True,VDA,0.40983803079546066,mali,manje u neolitiku
gustoca_rijeka_1000,kontinuirana,KS_2samp,274,274,0.13503649635036497,0.013442826981098485,0.34951350150856064,True,False,VDA,0.566093025733923,mali,vise u neolitiku
gustoca_rijeka_2000,kontinuirana,KS_2samp,274,274,0.11313868613138686,0.05988890553076099,1.0,False,False,VDA,0.5290905216047739,zanemariv,vise u neolitiku
strahler,ordinalna,chi2_2samp,274,274,29.468361029651355,1.8762963697174308e-05,0.000487837056126532,True,True,CliffsDelta,-0.03641643134956574,zanemariv,nizi red u neolitiku
tri,kontinuirana,KS_2samp,274,271,0.09808225819484472,0.1325446418474291,1.0,False,False,VDA,0.5163223530045519,zanemariv,vise u neolitiku
