varijabla,tip,test,n_jednofazna,n_kontinuirana,statistika,p_value,p_bonferroni,znacajnost_005,znacajnost_005_bonf,effect_name,effect_value,effect_interp,smjer
aps_vis,kontinuirana,KS_2samp,220,54,0.29764309764309765,0.0006641792185179068,0.017268659681465577,True,True,VDA,0.38796296296296273,mali,vise u kontinuiranim
rel_vis_100_250,kontinuirana,KS_2samp,220,54,0.31212121212121213,0.0002999016020047899,0.007797441652124538,True,True,VDA,0.3715488215488215,mali,vise u kontinuiranim
rel_vis_100_500,kontinuirana,KS_2samp,220,54,0.30757575757575756,0.0003873171775598068,0.010070246616554977,True,True,VDA,0.3718434343434346,mali,vise u kontinuiranim
rel_vis_100_1000,kontinuirana,KS_2samp,220,54,0.23973063973063974,0.011059758172835488,0.2875537124937227,True,False,VDA,0.39305555555555544,mali,vise u kontinuiranim
rel_vis_200_500,kontinuirana,KS_2samp,220,54,0.24713804713804713,0.007988867355875102,0.20771055125275265,True,False,VDA,0.38274410774410755,mali,vise u kontinuiranim
rel_vis_200_1000,kontinuirana,KS_2samp,220,54,0.17104377104377105,0.1382570439767684,1.0,False,False,VDA,0.41679292929292916,mali,vise u kontinuiranim
rel_vis_500_1000,kontinuirana,KS_2samp,220,54,0.11851851851851852,0.5302463104032065,1.0,False,False,VDA,0.45029461279461275,zanemariv,vise u kontinuiranim
aspect_cat4,kategorijska,chi2_2samp,44,16,6.757305194805195,0.08004903969892115,1.0,False,False,CramersV,0.33559164656879237,srednji,
aspect_ew,kategorijska,chi2_2samp,44,16,4.759507531246661,0.029136883531972975,0.7575589718312974,True,False,CramersV,0.2816471649436182,mali,
aspect_sn,kategorijska,chi2_2samp,44,16,0.44817186917050117,0.5032043854135051,1.0,False,False,CramersV,0.0864264493823603,zanemariv,
nagib,kontinuirana,KS_2samp,220,54,0.0962962962962963,0.7740437742925704,1.0,False,False,VDA,0.4529461279461281,zanemariv,vise u kontinuiranim
coarse_fragments,kontinuirana,KS_2samp,220,54,0.2313131313131313,0.01578055138586485,0.4102943360324861,True,False,VDA,0.3720538720538721,mali,vise u kontinuiranim
vtt_r100,kategorijska,chi2_2samp,220,54,4.431619085257749,0.2184714115424729,1.0,False,False,CramersV,0.1271762253015971,mali,
vtt_r250,kategorijska,chi2_2samp,220,54,4.321507423159471,0.2287747572745647,1.0,False,False,CramersV,0.12558632450247864,mali,
vtt_r500,kategorijska,chi2_2samp,220,54,6.445324932902306,0.09184387278461392,1.0,False,False,CramersV,0.15337236940441307,mali,
vtt_r1000,kategorijska,chi2_2samp,220,54,7.99670454323339,0.046079861965768305,1.0,True,False,CramersV,0.1708363341841955,mali,
sm_r100,kategorijska,chi2_2samp,220,54,2.1197528746978285,0.14541000514478153,1.0,False,False,CramersV,0.0879563775982791,zanemariv,
sm_r250,kategorijska,chi2_2samp,220,54,1.7165941528862882,0.1901320432088729,1.0,False,False,CramersV,0.07915138763040462,zanemariv,
sm_r500,kategorijska,chi2_2samp,220,54,1.5077299960535264,0.21948579583896644,1.0,False,False,CramersV,0.07417994485825298,zanemariv,
sm_r1000,kategorijska,chi2_2samp,220,54,0.7160534413251807,0.3974415110797155,1.0,False,False,CramersV,0.051120775888714394,zanemariv,
dist_rijeka,kontinuirana,KS_2samp,220,54,0.14898989898989898,0.2597736114474235,1.0,False,False,VDA,0.40513468013468007,mali,vise u kontinuiranim
dist_rijeka_korig,kontinuirana,KS_2samp,220,54,0.13400673400673402,0.3785000754501484,1.0,False,False,VDA,0.5199494949494947,zanemariv,vise u jednofaznim
gustoca_rijeka_1000,kontinuirana,KS_2samp,220,54,0.16885521885521884,0.14802679080745568,1.0,False,False,VDA,0.5790404040404042,mali,vise u jednofaznim
gustoca_rijeka_2000,kontinuirana,KS_2samp,220,54,0.22037037037037038,0.02455249167808998,0.6383647836303394,True,False,VDA,0.6194444444444442,mali,vise u jednofaznim
strahler,ordinalna,chi2_2samp,220,54,2.3455309826747515,0.7995570303798083,1.0,False,False,CliffsDelta,-0.012121212121211644,zanemariv,visi red u kontinuiranim
tri,kontinuirana,KS_2samp,220,54,0.2361952861952862,0.012857889107042221,0.33430511678309777,True,False,VDA,0.3964646464646464,mali,vise u kontinuiranim
