scenarij,varijabla,test,n_full,n_thin,p_full,p_thin,p_full_bonf,p_thin_bonf,bonf_full,bonf_thin,status
S1,dist_rijeka_korig,KS_2samp_vs_potpuno_nasumicni,274,238,5.855591076379667e-09,7.511975457707525e-07,1.5224536798587134e-07,1.9531136190039565e-05,True,True,PREZIVJELA
S1,rel_vis_100_250,KS_2samp_vs_potpuno_nasumicni,274,238,2.314712800017443e-06,8.906800797654763e-06,6.018253280045351e-05,0.00023157682073902383,True,True,PREZIVJELA
S1,strahler,chi2_GoF_vs_background,274,238,2.271195471036736e-06,0.001091357027819901,5.905108224695514e-05,0.028375282723317425,True,True,PREZIVJELA
S1,sm_r100,chi2_GoF_vs_background,274,238,0.0001845412428585897,0.0022697748501224013,0.004798072314323332,0.05901414610318243,True,False,IZGUBLJENA
S1,vtt_r100,chi2_GoF_vs_background,274,238,0.0003296546252511234,0.001909745576510697,0.00857102025652921,0.049653384989278126,True,True,PREZIVJELA
S2,dist_rijeka_korig,KS_2samp,274,238,9.931066193513954e-05,0.0006171191439374999,0.002582077210313628,0.016045097742374996,True,True,PREZIVJELA
S2,rel_vis_100_250,KS_2samp,274,238,3.6234990093730996e-06,1.460478351025773e-05,9.421097424370059e-05,0.000379724371266701,True,True,PREZIVJELA
S2,strahler,chi2_2samp,274,238,1.8762963697174308e-05,0.00031331889290287944,0.000487837056126532,0.008146291215474865,True,True,PREZIVJELA
S2,sm_r100,chi2_2samp,274,238,2.827892965537442e-06,3.0052095059460818e-05,7.352521710397348e-05,0.0007813544715459812,True,True,PREZIVJELA
S2,vtt_r100,chi2_2samp,274,238,8.093810167218772e-10,1.4946326385257936e-08,2.1043906434768806e-08,3.8860448601670634e-07,True,True,PREZIVJELA
