varijabla,klaster_t0.2,klaster_t0.3,klaster_t0.5
aps_vis,12,10,8
rel_vis_100_250,2,2,1
rel_vis_100_500,1,1,1
rel_vis_100_1000,1,1,1
rel_vis_200_500,1,1,1
rel_vis_200_1000,1,1,1
rel_vis_500_1000,3,3,2
nagib,10,9,7
coarse_fragments,13,11,9
tri,11,9,7
dist_rijeka,6,6,4
dist_rijeka_korig,6,6,4
gustoca_rijeka_1000,6,6,4
gustoca_rijeka_2000,7,6,4
strahler,8,7,5
aspect_cat4,4,4,3
aspect_ew,4,4,3
aspect_sn,5,5,3
vtt_r100,9,8,6
vtt_r250,9,8,6
vtt_r500,9,8,6
vtt_r1000,9,8,6
sm_r100,9,8,6
sm_r250,9,8,6
sm_r500,9,8,6
sm_r1000,9,8,6
