value_volpct,n_piksela,postotak
3.0,18916,1.482439
3.1,56525,4.429842
3.2,41082,3.21958
3.3,36494,2.86002
3.4,35048,2.746698
3.5,34568,2.70908
3.6,35048,2.746698
3.7,35658,2.794503
3.8,35241,2.761823
3.9,34764,2.724441
4.0,34067,2.669817
4.1,33842,2.652184
4.2,32252,2.527576
4.3,31573,2.474363
4.4,30498,2.390116
4.5,30074,2.356887
4.6,29313,2.297248
4.7,28854,2.261276
4.8,26983,2.114647
4.9,26884,2.106888
5.0,26244,2.056732
5.1,25279,1.981105
5.2,24316,1.905635
5.3,23990,1.880087
5.4,22848,1.790589
5.5,22215,1.740981
5.6,21625,1.694743
5.7,21126,1.655636
5.8,20734,1.624915
5.9,19763,1.548818
6.0,18844,1.476797
6.1,18214,1.427424
6.2,17608,1.379932
6.3,16951,1.328443
6.4,15833,1.240826
6.5,15008,1.176171
6.6,13574,1.063789
6.7,12533,0.982206
6.8,11756,0.921313
6.9,11028,0.86426
7.0,10200,0.79937
7.1,9357,0.733304
7.2,8797,0.689417
7.3,8026,0.628994
7.4,7297,0.571863
7.5,6889,0.539888
7.6,6174,0.483854
7.7,5822,0.456268
7.8,5532,0.433541
7.9,5182,0.406111
8.0,4739,0.371394
8.1,4499,0.352585
8.2,4206,0.329623
8.3,3950,0.30956
8.4,3815,0.29898
8.5,3589,0.281268
8.6,3440,0.269591
8.7,3372,0.264262
8.8,3111,0.243808
8.9,3163,0.247883
9.0,2770,0.217084
9.1,2736,0.214419
9.2,2741,0.214811
9.3,2630,0.206112
9.4,2367,0.185501
9.5,2271,0.177977
9.6,2142,0.167868
9.7,2086,0.163479
9.8,1981,0.15525
9.9,1840,0.1442
10.0,1826,0.143103
10.1,1821,0.142711
10.2,1774,0.139028
10.3,1690,0.132445
10.4,1650,0.12931
10.5,1627,0.127507
10.6,1607,0.12594
10.7,1575,0.123432
10.8,1527,0.11967
10.9,1585,0.124216
11.0,1506,0.118025
11.1,1573,0.123275
11.2,1608,0.126018
11.3,1576,0.12351
11.4,1556,0.121943
11.5,1586,0.124294
11.6,1507,0.118103
11.7,1491,0.116849
11.8,1486,0.116457
11.9,1430,0.112069
12.0,1394,0.109247
12.1,1368,0.10721
12.2,1317,0.103213
12.3,1311,0.102743
12.4,1300,0.10188
12.5,1286,0.100783
12.6,1266,0.099216
12.7,1350,0.105799
12.8,1342,0.105172
12.9,1213,0.095062
13.0,1216,0.095297
13.1,1156,0.090595
13.2,1052,0.082445
13.3,1157,0.090674
13.4,1104,0.08652
13.5,1141,0.08942
13.6,1036,0.081191
13.7,1073,0.084091
13.8,984,0.077116
13.9,1041,0.081583
14.0,1010,0.079153
14.1,1030,0.080721
14.2,1059,0.082993
14.3,1020,0.079937
14.4,964,0.075548
14.5,963,0.07547
14.6,940,0.073667
14.7,886,0.069435
14.8,940,0.073667
14.9,926,0.07257
15.0,895,0.070141
15.1,910,0.071316
15.2,863,0.067633
15.3,810,0.063479
15.4,821,0.064341
15.5,854,0.066928
15.6,827,0.064812
15.7,871,0.06826
15.8,832,0.065204
15.9,786,0.061599
16.0,783,0.061363
16.1,736,0.05768
16.2,730,0.05721
16.3,711,0.055721
16.4,644,0.05047
16.5,687,0.05384
16.6,685,0.053683
16.7,648,0.050784
16.8,691,0.054153
16.9,674,0.052821
17.0,656,0.05141
17.1,663,0.051959
17.2,648,0.050784
17.3,594,0.046552
17.4,624,0.048903
17.5,561,0.043965
17.6,539,0.042241
17.7,569,0.044592
17.8,488,0.038244
17.9,475,0.037226
18.0,467,0.036599
18.1,409,0.032053
18.2,432,0.033856
18.3,359,0.028135
18.4,361,0.028291
18.5,320,0.025078
18.6,271,0.021238
18.7,291,0.022806
18.8,253,0.019828
18.9,257,0.020141
19.0,218,0.017085
19.1,203,0.015909
19.2,177,0.013871
19.3,170,0.013323
19.4,184,0.01442
19.5,155,0.012147
19.6,173,0.013558
19.7,154,0.012069
19.8,115,0.009013
19.9,139,0.010893
20.0,119,0.009326
20.1,121,0.009483
20.2,113,0.008856
20.3,115,0.009013
20.4,89,0.006975
20.5,105,0.008229
20.6,107,0.008386
20.7,90,0.007053
20.8,89,0.006975
20.9,72,0.005643
21.0,76,0.005956
21.1,46,0.003605
21.2,64,0.005016
21.3,64,0.005016
21.4,47,0.003683
21.5,51,0.003997
21.6,42,0.003292
21.7,29,0.002273
21.8,41,0.003213
21.9,35,0.002743
22.0,36,0.002821
22.1,31,0.002429
22.2,27,0.002116
22.3,20,0.001567
22.4,19,0.001489
22.5,23,0.001803
22.6,13,0.001019
22.7,17,0.001332
22.8,16,0.001254
22.9,12,0.00094
23.0,15,0.001176
23.1,9,0.000705
23.2,11,0.000862
23.3,5,0.000392
23.4,4,0.000313
23.5,6,0.00047
23.6,3,0.000235
23.7,7,0.000549
23.8,4,0.000313
23.9,7,0.000549
24.0,6,0.00047
24.1,2,0.000157
24.2,2,0.000157
24.3,4,0.000313
24.4,6,0.00047
24.5,2,0.000157
24.6,3,0.000235
24.7,1,7.8e-05
24.8,3,0.000235
24.9,2,0.000157
25.1,2,0.000157
25.2,2,0.000157
25.3,4,0.000313
25.4,2,0.000157
25.5,1,7.8e-05
25.6,5,0.000392
25.7,1,7.8e-05
25.8,2,0.000157
25.9,1,7.8e-05
26.0,1,7.8e-05
26.1,3,0.000235
26.2,2,0.000157
26.4,1,7.8e-05
26.8,3,0.000235
26.9,1,7.8e-05
27.0,3,0.000235
27.2,1,7.8e-05
27.3,2,0.000157
27.5,1,7.8e-05
27.6,1,7.8e-05
28.4,1,7.8e-05
28.6,2,0.000157
28.7,2,0.000157
29.6,1,7.8e-05
29.7,1,7.8e-05
30.3,1,7.8e-05
30.4,1,7.8e-05
